"Model","npar","K","train_logLik","train_AIC","train_BIC"
"Logistic",5,NA,-1275.13232177001,2560.26464354002,2581.44649149104
"Beta-Binomial regression",6,NA,-1173.31336578417,2358.62673156834,2384.04494910956
"Bern-Bino regression",24,10,-1141.13351231415,2330.2670246283,2431.93989479319
