"K","cv_mean_ll"
1,-810.263448993175
2,-781.136374011673
3,-743.508028031095
4,-741.507375995647
5,-713.901262060434
6,-703.11143234767
7,-697.756108811593
8,-682.117142519811
9,-680.020382307453
10,-669.835547813148
