"x","observed","logistic","bbreg","bern"
0,0.00914634146341463,5.53972065284101e-07,0.00453695717714219,0.0104199590527803
1,0.0121951219512195,9.25836511611183e-06,0.00983268331486719,0.0151429816140069
2,0.00914634146341463,7.50674619076567e-05,0.015503545783763,0.0197579350250886
3,0.0274390243902439,0.000393969787721854,0.0213228892976447,0.0242809774193093
4,0.024390243902439,0.00150758326732764,0.027126405733503,0.0287163481079944
5,0.024390243902439,0.00449618137280891,0.0327828635774979,0.0330563675805099
6,0.0518292682926829,0.010919138395754,0.0381815402434143,0.0372814375042624
7,0.0274390243902439,0.022297829801735,0.043225719753618,0.0413600407246997
8,0.0426829268292683,0.0392682861528885,0.047828891245887,0.0452487412653109
9,0.0548780487804878,0.0608761257382228,0.0519123185394744,0.048892184327625
10,0.0457317073170732,0.0844500619206083,0.0554033683521846,0.0522230962912128
11,0.0579268292682927,0.106100007027773,0.0582342791020907,0.0551622847136861
12,0.0518292682926829,0.121585447841374,0.0603411849504838,0.0576186383306961
13,0.0518292682926829,0.127336892719538,0.0616632706251327,0.0594891270559371
14,0.0792682926829268,0.121525463207321,0.062141954740552,0.0606588019811426
15,0.0548780487804878,0.104930661853276,0.0617199925197022,0.0610007953760879
16,0.0640243902439024,0.0810859038600961,0.0603403475421078,0.0603763206885886
17,0.0792682926829268,0.0552742794801954,0.0579445807030081,0.0586346725445021
18,0.0579268292682927,0.0326139939731385,0.0544702722299408,0.0556132267477256
19,0.0731707317073171,0.0162279851981874,0.0498464316194057,0.0511374402801977
20,0.0609756097560976,0.00655024356126272,0.0439843414438889,0.0450208513018983
21,0.0335365853658537,0.00201286890204039,0.0367565168941312,0.0370650791508477
22,0.00609756097560976,0.000418255300347865,0.0279373196104452,0.0270598243431069
23,0,4.39408392935409e-05,0.0169623250001131,0.0147828685727785
