"term","estimate","se"
"(Intercept)",0.372919548554281,0.0912099561913965
"Z_trtests",0.574768226336434,0.0391251279260278
"Z_trgenderM",-0.0277983841899807,0.078351042977992
"Z_trstudy571",-0.110394503084556,0.0996687811253448
"Z_trsemester",0.140284333040896,0.0390464970971573
"logit_rho",-2.28842061100665,0.115594942182335
"rho",0.0920865122087932,NA
