"K","train_ll","npar","BIC"
1,-1280.57819983471,7,2604.81098680085
2,-1230.49398653561,9,2517.11529938305
3,-1197.52956877449,11,2463.65920304121
4,-1171.3778996056,13,2423.82860388385
5,-1169.68058249638,15,2432.90670884582
6,-1152.87774957685,17,2411.77378218716
7,-1156.595223894,19,2431.68147000187
8,-1150.88643791027,21,2432.73663721481
9,-1151.72067241022,23,2446.87784539512
10,-1141.66628970624,25,2439.24181916758
