"K","train_ll","npar","BIC"
1,-2361.39353795319,6,4762.64199671459
2,-2313.93548033037,8,4681.01085507168
3,-2278.41332733054,10,4623.25152267476
4,-2267.31680570724,12,4614.34345303089
5,-2261.84753300827,14,4616.68988123568
6,-2259.42296136884,16,4625.12571155955
7,-2259.44249340186,18,4638.44974922833
8,-2265.05790130301,20,4662.96553863337
9,-2258.70854585067,22,4663.55180133142
10,-2255.46628326817,24,4670.35224976916
