"term","estimate","se"
"beta0",0.372919548554281,0.0912099561913965
"beta_tests",0.574768226336434,0.0391251279260278
"beta_genderM",-0.0277983841899807,0.078351042977992
"beta_study571",-0.110394503084556,0.0996687811253448
"beta_semester",0.140284333040896,0.0390464970971573
"logit_rho",-2.28842061100665,0.115594942182335
"rho",0.0920865122087932,NA
