"term","estimate"
"phi_0",0
"phi_1",4.86381955614131
"phi_2",-298.78028695869
"phi_3",347.542162961713
"phi_4",205.843291976149
"phi_5",-123.151659229707
"phi_6",-131.355311049613
"gamma_0",1
"gamma_1",-15.5965611133765
"gamma_2",-19.7538303183892
"gamma_3",-10.7636151474704
"gamma_4",19.6646698739754
"gamma_5",23.9135694119804
"gamma_6",24.0181504497623
"beta_tests",56.260091150608
"beta_genderM",-0.756740929613559
"beta_study571",2.04832827291095
"beta_semester",4.92149923436729
