"Model","npar","K","train_logLik","train_AIC","train_BIC"
"Logistic",5,NA,-1275.13232177001,2560.26464354002,2581.44649149104
"BetaBinom",6,NA,-1173.31336578417,2358.62673156834,2384.04494910956
"BernA",30,6,-1150.60702566924,2361.21405133849,2488.3051390446
"BernB",16,6,-1153.21518819743,2338.43037639485,2406.21228983811
