"K","cv_mean_ll"
1,-473.132200505471
2,-466.029271130381
3,-456.690113683755
4,-459.46581481648
5,-454.562133583929
6,-456.813275506067
7,-454.903614380936
8,-456.108320448968
9,-455.783495450125
10,-457.348263490283
