"K","train_ll","npar","BIC"
1,-4051.31724496587,9,8165.24339892011
2,-3905.68187005836,11,7887.88573999139
3,-3717.54014015548,13,7525.51537107192
4,-3709.17485077266,15,7522.6978831926
5,-3569.50631030217,17,7257.27389313792
6,-3515.55716173835,19,7163.28868689658
7,-3488.78054405797,21,7123.64854242212
8,-3410.58571259906,23,6981.1719703906
9,-3401.94058714354,25,6977.79481036588
10,-3349.17773906574,27,6886.18220509657
