"component","mean_weight","max_weight"
0,0.00947447736726758,0.0463941507416036
1,0.0224638391155657,0.817716475098241
2,8.28300066247135e-25,2.12966132068902e-23
3,0.11020744382771,1
4,1.11521031012975e-12,5.92190807164802e-11
5,0.401079294419176,0.99189421592262
6,0.171923582242222,1
7,0.161840600956403,1
8,0.0581152591645249,0.580260224420544
9,1.24526686563772e-08,2.80574299608461e-07
10,0.0648954904533463,0.708169113291146
