"p","q10","q50","q90","mean_test"
0.001,0.00521053375621326,0.499209793412371,3.22554702069159e-20,0.114634615808107
0.00515833333333333,0.0260321136356375,0.478815154130942,3.21000581931153e-15,0.117759796460187
0.00931666666666667,0.0459378485131534,0.459173641015131,2.05897278578347e-13,0.120517886392169
0.013475,0.0654426216965189,0.440261035648175,2.7860638749946e-12,0.122958162198271
0.0176333333333333,0.0850036230994865,0.422054596350633,1.8693628629416e-11,0.125126022477679
0.0217916666666667,0.105023949377284,0.40453331084347,8.39596736403034e-11,0.127063346130901
0.02595,0.125856052914715,0.38767810885284,2.90620286337822e-10,0.128808825335932
0.0301083333333333,0.147805044131902,0.371472037170805,8.3783477400867e-10,0.130398274373452
0.0342666666666667,0.17113185148185,0.355900399598479,2.10920341703516e-09,0.131864915435613
0.038425,0.19605624342434,0.340950864112005,4.78265800786746e-09,0.133239642519087
0.0425833333333333,0.222759716572114,0.326613539507421,9.97961064370929e-09,0.13455126446965
0.0467416666666667,0.251388254117962,0.312881023697813,1.94603040509079e-08,0.135826728212828
0.0509,0.282054958565058,0.299748425755107,3.58725115669516e-08,0.137091323172984
0.0550583333333333,0.314842562697775,0.287213363709528,6.30608882406386e-08,0.138368867851655
0.0592166666666667,0.34980582264626,0.275275940042012,1.06444377781248e-07,0.139681879504969
0.063375,0.386973796815129,0.263938696728768,1.73469134742252e-07,0.141051727829575
0.0675333333333333,0.426352014364929,0.253206551622696,2.7414442881314e-07,0.1424987735367
0.0716916666666667,0.467924536854331,0.243086717883466,4.21668959863072e-07,0.144042492664705
0.07585,0.511655916571474,0.233588608096751,6.33154929881298e-07,0.145701587451805
0.0800083333333333,0.557493055004397,0.224723724653348,9.30457092640238e-07,0.147494084562544
0.0841666666666667,0.605366964823119,0.216505537890713,1.34111383521692e-06,0.149437421434
0.088325,0.655194438669611,0.208949353432764,1.89940713889576e-06,0.151548521480718
0.0924833333333333,0.70687962797665,0.202072170098648,2.6475480218892e-06,0.153843858870897
0.0966416666666667,0.760315534962378,0.195892529687537,3.63699378420207e-06,0.156339513560414
0.1008,0.815385420874234,0.190430359884325,4.92990305727798e-06,0.15905121724591
0.104958333333333,0.871964133483865,0.185706811470434,6.60073430925276e-06,0.161994390873276
0.109116666666667,0.929919356763565,0.181744090964716,8.73799307214711e-06,0.165184174313573
0.113275,0.989112785604784,0.17856528976163,1.14461327416098e-05,0.168635448794592
0.117433333333333,1.04940122837024,0.176194210777552,1.48476133543198e-05,0.172362852652968
0.121591666666667,1.11063764000326,0.174655193561105,1.90851222743238e-05,0.176380790949011
0.12575,1.17267208835091,0.173972938769908,2.43239602188659e-05,0.180703439464075
0.129908333333333,1.23535265629163,0.174172332863928,3.07545955281207e-05,0.185344743578606
0.134066666666667,1.29852628219314,0.175278273814908,3.85953890331003e-05,0.190318412507629
0.138225,1.36203954116215,0.177315498581861,4.80954913033379e-05,0.195637909349731
0.142383333333333,1.42573936948499,0.180308413054576,5.95379134621897e-05,0.201316437385256
0.146541666666667,1.48947373459552,0.18428092512031,7.32427721442007e-05,0.207366923039601
0.1507,1.55309225284634,0.189256281463388,8.95707085373889e-05,0.213801995908186
0.154858333333333,1.61644675729883,0.195256908663308,0.00010892648080498,0.220633966220779
0.159016666666667,1.67939181768843,0.202304259114045,0.000131762728517502,0.227874800104457
0.163175,1.74178521466366,0.210418662245689,0.000158583907048679,0.235536092986522
0.167333333333333,1.80348837033993,0.219619181489172,0.000189950389198722,0.243629041461234
0.171491666666667,1.86436673715285,0.229923477385741,0.000226482730607794,0.252164413927153
0.17565,1.92429014694059,0.241347677204955,0.000268866094812138,0.261152520285289
0.179808333333333,1.98313312213017,0.253906251398281,0.000317854833077008,0.270603180972137
0.183966666666667,2.0407751508491,0.267611897179898,0.000374277213415585,0.280525695585916
0.188125,2.09710092773121,0.282475429492005,0.000439040292472994,0.290928811349074
0.192283333333333,2.15200056213365,0.298505679578766,0.000513134923220699,0.301820691635243
0.196441666666667,2.20536975543126,0.315709401361053,0.000597640890670527,0.313208884774406
