"p","q10","q50","q90","mean_test"
0.001,0.000250491774963687,6.27483777480631e-10,6.20836085121675e-16,1.92118108739014e-05
0.00515833333333333,0.00650044585450034,4.36912054324556e-07,2.25818768192452e-12,0.000498733522759786
0.00931666666666667,0.0206790601392748,4.57216828083884e-06,4.3357331107861e-11,0.00158787235839835
0.013475,0.0421800082983497,1.96737897770179e-05,2.74947154560035e-10,0.00324314390645753
0.0176333333333333,0.0704224421475915,5.67247629375915e-05,1.06022623749133e-09,0.00542459443763143
0.0217916666666667,0.104850277583141,0.000130085164672852,3.07993120878596e-09,0.00809562924542347
0.02595,0.144931494060454,0.00025716685926248,7.45306552834008e-09,0.0112228456670659
0.0301083333333333,0.190157447458473,0.000458121129758171,1.5877612300112e-08,0.0147758707163947
0.0342666666666667,0.240042196169387,0.000755538981635578,3.07962856350559e-08,0.0187272032609109
0.038425,0.294121840255373,0.00117416385866707,5.5592185777452e-08,0.0230520606756689
0.0425833333333333,0.35195387351458,0.00174061651325778,9.48190339032467e-08,0.0277282299070436
0.0467416666666667,0.413116548299571,0.00248313177575842,1.54470473194118e-07,0.0327359228798389
0.0509,0.477208252932307,0.00343130696953936,2.42292733486073e-07,0.0380576361816127
0.0550583333333333,0.543846901560692,0.00461586172088141,3.68144767486499e-07,0.0436780149584994
0.0592166666666667,0.612669336302589,0.0060684089150098,5.44409777248677e-07,0.0495837209572285
0.063375,0.683330741524136,0.00782123655186862,7.86461860287863e-07,0.0557633046484428
0.0675333333333333,0.75550407010011,0.00990710025750455,1.11319131541817e-06,0.062207081366834
0.0716916666666667,0.828879481504943,0.0123590262091988,1.54759195908454e-06,0.0689070114040219
0.07585,0.903163791584,0.0152101242347583,2.11741361365922e-06,0.0758565839905181
0.0800083333333333,0.978079933855513,0.0184934108486464,2.8558827398673e-06,0.0830507051035192
0.0841666666666667,1.0533664321946,0.0222416419899076,3.80249399620083e-06,0.0904855890376939
0.088325,1.12877688475159,0.026487155229107,5.00387531887633e-06,0.0981586536765307
0.0924833333333333,1.2040794589579,0.0312617212137809,6.51472892658545e-06,0.10606841940223
0.0966416666666667,1.27905639747347,0.0365964041241633,8.39885046498371e-06,0.114214411582533
0.1008,1.35350353493089,0.0425214309132245,1.07302283165573e-05,0.122597066573286
0.104958333333333,1.42722982533193,0.0490660691073292,1.35942249122031e-05,0.131217641175963
0.109116666666667,1.50005687995358,0.0562585129460924,1.7088841691552e-05,0.140078125489762
0.113275,1.57181851562095,0.0641257776422829,2.13260691697613e-05,0.149181159098314
0.117433333333333,1.64236031320609,0.0726936015448943,2.64333233791956e-05,0.158529950531453
0.121591666666667,1.71153918621184,0.0819863559907747,3.25549697651131e-05,0.1681281999429
0.12575,1.77922295930159,0.0920269626324779,3.98539354251663e-05,0.177980024945132
0.129908333333333,1.84528995663592,0.102836818032269,4.85134103932247e-05,0.188089889543116
0.134066666666667,1.90962859987865,0.114435725314488,5.87386384787179e-05,0.198462536108985
0.138225,1.97213701573542,0.12684183267075,7.07587979833981e-05,0.209102920340183
0.142383333333333,2.0327226528888,0.140071578514724,8.48289724281099e-05,0.220016149143954
0.146541666666667,2.091301908195,0.154139643085507,0.000101232211232855,0.231207421391528
0.1507,2.14779976200807,0.169058906300889,0.000120281680104133,0.242681971485725
0.154858333333333,2.20214942249844,0.18484041166406,0.000142322900694237,0.25444501568611
0.159016666666667,2.25429197883339,0.201493336029595,0.000167736078907869,0.26650170113627
0.163175,2.30417606308819,0.21902496503681,0.000196938521042146,0.278857057538173
0.167333333333333,2.35175752075752,0.237440674020872,0.000230387136756762,0.291515951418974
0.171491666666667,2.39699908973733,0.256743914214304,0.000268581027681754,0.304483042936073
0.17565,2.43987008764885,0.276936204053786,0.000312064160281031,0.317762745166603
0.179808333333333,2.48034610737669,0.298017125409458,0.000361428121400509,0.331359185827976
0.183966666666667,2.5184087206945,0.319984324556163,0.000417314954740395,0.345276171376482
0.188125,2.55404518985195,0.342833517708373,0.000480420076301861,0.359517153431402
0.192283333333333,2.58724818699832,0.366558500942777,0.000551495266669029,0.374085197472436
0.196441666666667,2.61801552131836,0.391151164334823,0.000631351737797912,0.388982953758744
0.2006,2.64634987375739,0.416601510137735,0.000720863271794616,0.404212630418214
0.204758333333333,2.67225853921318,0.442897674834826,0.000820969428975823,0.419775968656069
0.208916666666667,2.69575317607347,0.470025954898183,0.000932678822315295,0.435674220032272
0.213075,2.71684956297839,0.49797083608909,0.00105707245519075,0.45190812575764
0.217233333333333,2.73556736268841,0.526715026137792,0.00119530711915628,0.468477897958957
0.221391666666667,2.75192989293906,0.556239490642516,0.00134861884827606,0.485383202863813
0.22555,2.76596390416479,0.586523492029906,0.00151832642636584,0.502623145856295
0.229708333333333,2.77769936397494,0.617544631421297,0.00170583494329946,0.520196258355064
0.233866666666667,2.78716924826611,0.649278893251568,0.00191263939634823,0.538100486465762
0.238025,2.79440933885571,0.681700692489519,0.00214032833233173,0.556333181360126
0.242183333333333,2.79945802752278,0.714782924311039,0.00239058752616933,0.574891091334557
0.246341666666667,2.80235612634265,0.748497016078587,0.00266520369123249,0.593770355501337
0.2505,2.80314668420333,0.782812981482771,0.00296606821670828,0.612966499066088
0.254658333333333,2.80187480939217,0.8176994767041,0.00329518092699573,0.632474430145468
0.258816666666667,2.79858749814229,0.853123858455215,0.00365465385796687,0.652288438079521
0.262975,2.7933334690292,0.889052243766253,0.00404671504473529,0.672402193193502
0.267133333333333,2.78616300310909,0.925449571378159,0.00447371231538578,0.692808747964421
0.271291666666667,2.77712778969078,0.962279664611154,0.00493811708492889,0.713500539547938
0.27545,2.76628077763475,0.999505295577721,0.00544252814355555,0.734469393621675
0.279608333333333,2.7536760320731,1.03708825061185,0.00598967543307706,0.755706529501412
