"K","cv_mean_ll"
1,-258.903044006451
2,-247.459497986482
3,-241.367349098692
4,-235.691377049274
5,-238.943091425045
6,-232.379184378351
7,-233.216239981009
8,-231.538999341992
9,-232.758405913785
10,-232.241931523364
