"term","estimate","se","z","p_value"
"(Intercept)",0.367463699215085,0.0635084489146084,5.78606005177619,7.2056463524523e-09
"Z_trtests",0.565504687159227,0.0271552071432513,20.8249078777427,2.57420572751482e-96
"Z_trgenderM",-0.0154466848526533,0.0540534780730419,-0.285766714803817,0.775056803202537
"Z_trstudy571",-0.112136238799989,0.0691025997135429,-1.62274992930567,0.10464287326271
"Z_trsemester",0.145878717020454,0.0269505492986533,5.41282908203073,6.20366997913991e-08
