"x","observed","logistic","bbreg","bern"
0,0.00458715596330275,0.00038260702888717,0.00539707703886901,0.00760851979565526
1,0.0137614678899083,0.00309186555108825,0.0165111392605031,0.0195665143390213
2,0.0275229357798165,0.0122216898743678,0.0322622217483149,0.0354667690040149
3,0.036697247706422,0.0317237490787803,0.0509566060927586,0.0539803098057147
4,0.073394495412844,0.0615571750677992,0.0706653091413794,0.0731842022705327
5,0.123853211009174,0.0967694363434335,0.0894048923494808,0.0908746420523436
6,0.0642201834862385,0.130223795522074,0.105222818521496,0.104865337294571
7,0.18348623853211,0.154655399997902,0.11625573522113,0.11327118273823
8,0.0871559633027523,0.162391778879167,0.120812167001665,0.114777225575924
9,0.114678899082569,0.14700144256358,0.117519598571098,0.1088929230518
10,0.114678899082569,0.109386197563589,0.105566904159907,0.09619169180746
11,0.0642201834862385,0.0621876922203351,0.0850670388450684,0.0785357489738301
12,0.0412844036697248,0.0238254846296965,0.0575683675757739,0.0592862450089825
13,0.0504587155963303,0.00458168567930072,0.0267901244725525,0.0434986882819156
