"p","bern","bb","ln","km"
0.002,2.20985441158556e-22,0.000133692353463294,6.21658788887872e-08,0.000537884819873355
0.00533110367892977,4.89430803810156e-18,0.000793806550497813,9.71720636773256e-06,0.00229008397562136
0.00866220735785953,7.67664163314978e-16,0.00191419084080087,8.36743137825014e-05,0.00469195371291184
0.0119933110367893,2.34966361498655e-14,0.00344932623143204,0.00031192016164729,0.00758850386592235
0.0153244147157191,3.134819733664e-13,0.00537044422251489,0.000786148206068101,0.0109002635116318
0.0186555183946488,2.52287380600449e-12,0.0076562248279245,0.00158433543807643,0.0145764912083311
0.0219866220735786,1.44377856031252e-11,0.0102895778655099,0.00276693226404727,0.0185811361667139
0.0253177257525084,6.46116752950477e-11,0.0132561372009122,0.0043777091605615,0.0228868636310538
0.0286488294314381,2.40090159705273e-10,0.0165434351095421,0.00644612474350318,0.0274720107515578
0.0319799331103679,7.71252138584995e-10,0.0201404012144421,0.00898994919727815,0.0323188481596613
0.0353110367892977,2.20351688265233e-09,0.0240370359324781,0.0120176726496545,0.037412504721848
0.0386421404682274,5.71692841077874e-09,0.0282241860386792,0.0155305571587132,0.0427402618324944
0.0419732441471572,1.36817881874554e-08,0.0326933839192479,0.0195243225423243,0.0482910684477111
0.045304347826087,3.05715845643155e-08,0.037436728576221,0.0239905042552718,0.0540551953351054
0.0486354515050167,6.43931133113201e-08,0.0424467951244517,0.0289175344816039,0.0600239810448687
0.0519665551839465,1.28837175205383e-07,0.0477165643866764,0.0342915965192783,0.066189640524047
0.0552976588628763,2.46400493071636e-07,0.0532393670646672,0.0400972964539581,0.0725451178245064
0.058628762541806,4.52779106367414e-07,0.0590088387346092,0.0463181888970038,0.0790839706550064
0.0619598662207358,8.02883794359316e-07,0.0650188830461473,0.0529371867398532,0.0858002784454217
0.0652909698996656,1.3788771503658e-06,0.0712636412504544,0.0599368789777386,0.0926885681091439
0.0686220735785953,2.30067773164692e-06,0.077737466687962,0.0672997757701338,0.0997437533550928
0.0719531772575251,3.73941711834465e-06,0.0844349032168884,0.0750084959514647,0.106961084530264
0.0752842809364549,5.93436860491015e-06,0.0913506668119713,0.0830459090462845,0.11433610675694
0.0786153846153846,9.21388956546362e-06,0.0984796297419914,0.0913952413361373,0.1218646246826
0.0819464882943144,1.40209313700083e-05,0.105816806866158,0.100040153542899,0.129542672559316
0.0852775919732442,2.09436693785886e-05,0.113357343687394,0.108964796127841,0.13736648866106
0.0886086956521739,3.07517895681096e-05,0.121096505874552,0.118153846969329,0.145332493263794
0.0919397993311037,4.44389366291715e-05,0.129029670022154,0.127592535204829,0.153437269575975
0.0952709030100335,6.32717801399313e-05,0.137152315460055,0.137266654249446,0.161677547130924
0.0986020066889632,8.88460902965419e-05,0.145460016959588,0.147162566389916,0.170050187247861
0.101933110367893,0.00012315013267375,0.153948438209812,0.157267200865861,0.178552170242482
0.105264214046823,0.000168635593034318,0.16261332595891,0.167568046962377,0.187180584126089
0.108595317725753,0.000228296129140525,0.171450504733118,0.178053143328919,0.195932614578338
0.111926421404682,0.000305753518080379,0.18045587205949,0.18871106449245,0.204805536015391
0.115257525083612,0.000405351226416351,0.189625394130185,0.199530905335287,0.213796703604805
0.118588628762542,0.000532255078452455,0.198955101855331,0.210502264149686,0.222903546102422
0.121919732441472,0.000692560537362676,0.208441087259197,0.221615224754182,0.232123559406021
0.125250836120401,0.000893405947362195,0.218079500180829,0.232860338054688,0.24145430073652
0.128581939799331,0.00114309091528248,0.227866545245627,0.244228603351271,0.250893383370682
0.131913043478261,0.00145119883974702,0.237798479078874,0.255711449625616,0.260438471860277
0.135244147157191,0.0018287224286618,0.247871607735946,0.267300716991114,0.270087277681779
0.13857525083612,0.00228819088401174,0.258082284327209,0.27898863844484,0.279837555268315
0.14190635451505,0.00284379728006753,0.268426906818296,0.290767822026425,0.289687098382068
