"p","bern","bb","ln","km"
0.002,0.21162600427728,0.00597794652103303,1.16253376053259e-07,0.0433439280134165
0.00533110367892977,0.194657756544519,0.0255356624849274,5.67710651457996e-05,0.104708114257205
0.00866220735785953,0.179001948402573,0.052024490677754,0.000719601914929074,0.16200041151989
0.0119933110367893,0.164566356919934,0.0834263643435589,0.00325386358535096,0.216992061175759
0.0153244147157191,0.15127116113205,0.118640560196797,0.00915629332298414,0.27035352022257
0.0186555183946488,0.139050690273184,0.156928799077709,0.0197191576168981,0.322433396374358
0.0219866220735786,0.127855136742936,0.197744568215099,0.0358529549883414,0.373441164539874
0.0253177257525084,0.117652115264265,0.240658938272998,0.0580707427315538,0.423513658244265
0.0286488294314381,0.108427976538851,0.285322016124715,0.0865427367275598,0.472745143699529
0.0319799331103679,0.100188807690537,0.331440510150799,0.12117131565405,0.52120290158103
0.0353110367892977,0.0929610730024973,0.378763593662898,0.161663847548231,0.568936098977334
0.0386421404682274,0.0867918670157139,0.427073454584448,0.207594878369439,0.615981206368342
0.0419732441471572,0.0817487681004471,0.476178681232721,0.258455791883438,0.662365488649407
0.045304347826087,0.0779192942870698,0.525909459861961,0.313692803375235,0.70810935410482
0.0486354515050167,0.0754099746055864,0.576113981090902,0.372735094019463,0.753227991723387
0.0519665551839465,0.074345058597935,0.626655682395427,0.435015031207319,0.797732546593032
0.0552976588628763,0.0748648942001817,0.677411086481358,0.499982234464613,0.841630985055599
0.058628762541806,0.0771240100096911,0.728268075372796,0.567112959569488,0.884928745353265
0.0619598662207358,0.0812889422202545,0.779124490218769,0.63591598229295,0.927629236198454
0.0652909698996656,0.087535849387339,0.829886979324844,0.705935905533876,0.969734225151463
0.0686220735785953,0.0960479598324602,0.880470038585913,0.77675459995405,1.01124414560801
0.0719531772575251,0.107012897060319,0.930795203308887,0.847991317297857,1.05215834263873
0.0752842809364549,0.12061992818784,0.980790360765661,0.919301881815485,1.09247527218418
0.0786153846153846,0.13705717920583,1.03038916019487,0.990377261995288,1.13219266417827
0.0819464882943144,0.15650885903852,1.07953050232315,1.06094174594224,1.17130765742853
0.0852775919732442,0.179152531952084,1.12815809442178,1.1307508838988,1.20981691213107
0.0886086956521739,0.205156474999612,1.17622005986452,1.19958931625504,1.24771670449104
0.0919397993311037,0.234677153977563,1.22366859338766,1.26726857149505,1.28500300688804
0.0952709030100335,0.267856847898941,1.27045965496743,1.33362489319427,1.32167155626179
0.0986020066889632,0.304821448344252,1.31655269655864,1.39851713634633,1.35771791281894
0.101933110367893,0.345678456307014,1.3619104169797,1.46182475937555,1.39313751072628
