"Model","K","npar","logLik","AIC","BIC","L1","MSE","X2","pval","label"
"bin",NA,1,-17566.3366360665,35134.673272133,35141.7146019623,0.122842729149673,0.00132809738152269,9027.34416469698,0.001,"Mobility"
"bb",NA,2,-16409.0865339339,32822.1730678679,32836.2557275264,0.0954970919885857,0.000920552468262154,6655.71323863782,0.001,"Mobility"
"ln",NA,2,-41081.2791666104,82166.5583332207,82180.6409928792,0.0941212587689912,0.000857778918731489,6629.46329516622,0.001,"Mobility"
"km",NA,2,-41167.8918237842,82339.7836475684,82353.8663072269,0.100452823426224,0.00105643099848001,6586.85670457332,0.12,"Mobility"
"bern_bic",15,16,-15929.0091866087,31890.0183732174,32002.6796504853,0.0511584014974083,0.000265652613630722,6435.44331780781,1,"Mobility"
"bern_ll",30,31,-15912.6072066084,31887.2144132169,32105.4956379234,0.0449252773040829,0.000202121326959742,6549.20737393772,0.813,"Mobility"
