"Model","K","npar","logLik","AIC","BIC","L1","MSE","GOFp"
"Binomial",NA,1,-35797.74,71597.49,71605.37,0.1978,0.006103,0.001
"Beta-Binomial",NA,2,-33516.01,67036.01,67051.78,0.0671,0.000517,0.772
"Logit-Normal",NA,2,-33536.36,67076.72,67092.49,0.0711,0.000571,0.734
"Kumaraswamy",NA,2,-33533.79,67071.57,67087.34,0.0692,0.000549,0.987
"Bern-Bino (K=13)",13,14,-33351.85,66731.7,66842.06,0.0288,0.00013,1
