"Model","CV_logLik","CV_L1","CV_MSE"
"Binomial",-107398.498187618,0.197773127423041,0.00613256922217146
"Beta-Binomial",-100553.541735501,0.0671460857720967,0.000547926816587112
"Logit-Normal",-100614.64398001,0.0710822717945839,0.000601504868215662
"Kumaraswamy",-100606.841053086,0.0691631015011626,0.000580158663982995
"Bern-Bino",-100139.219248513,0.0383044822437373,0.000223937839269702
