"scenario","n","prior","parameter","bias","mse","coverage","width","ess","rhat"
"S1",200,"P1","lambda0",0.00833024523971441,0.0107540690515469,0.944,0.284720770793848,1656.75570572042,1.00391147607444
"S1",200,"P1","lambda1",-0.0165273365670565,0.0281897734513843,0.941,0.463352249776788,1116.49832677821,1.0057379944253
"S1",200,"P1","lambda2",0.00819709132734205,0.0103775523371139,0.955,0.284500878845961,1667.30434831327,1.00386266650347
"S1",200,"P2","lambda0",-0.0045949980274262,0.00858371368537214,0.969,0.269056777296849,2076.04997231434,1.00301409998733
"S1",200,"P2","lambda1",0.0064687225032448,0.0219217802382699,0.974,0.430853939154418,1368.19979454515,1.00446111807057
"S1",200,"P2","lambda2",-0.0018737244758186,0.00862063969174568,0.968,0.2693860916135,2078.69962184329,1.00301220103521
"S1",200,"P3","lambda0",0.0830183335025019,0.0147404980893655,0.795,0.260043253010385,1897.4791173703,1.00338399741828
"S1",200,"P3","lambda1",-0.16642250951006,0.0452061158670175,0.668,0.3900354683628,1111.49794245725,1.00564760302134
"S1",200,"P3","lambda2",0.0834041760075576,0.0148758918662577,0.798,0.25987695499716,1896.84012959439,1.00330372132963
"S1",500,"P1","lambda0",0.00359838407951883,0.00463915972776194,0.947,0.186646468906775,1668.19736694684,1.00391501381781
"S1",500,"P1","lambda1",-0.00762472043401398,0.0128263117010942,0.942,0.308556466862082,1134.17511654812,1.00564077995419
"S1",500,"P1","lambda2",0.00402633635449515,0.0047209813254564,0.943,0.186647837431281,1667.6674627503,1.00388831330337
"S1",500,"P2","lambda0",0.000850566458844643,0.00419120999258637,0.964,0.181604820964057,1838.82739448359,1.00334646487734
"S1",500,"P2","lambda1",-0.000290522527316736,0.0110533900174431,0.961,0.297320325555548,1234.01095150634,1.0049280734465
"S1",500,"P2","lambda2",-0.000560043931527907,0.00421691816660842,0.955,0.181605333456953,1833.39683776097,1.00342793850533
"S1",500,"P3","lambda0",0.0415892240663,0.00577216154751922,0.881,0.183104882694082,1631.94453940058,1.00375012845809
"S1",500,"P3","lambda1",-0.0833160417055432,0.017971421377009,0.814,0.297989770571396,1082.21632724756,1.00561214319942
"S1",500,"P3","lambda2",0.0417268176392432,0.00599902018668814,0.863,0.182999064454265,1638.62564428551,1.00369485893763
"S1",800,"P1","lambda0",0.00105799728424841,0.0029110972238802,0.945,0.148122409674011,1708.73337495307,1.00372507792212
"S1",800,"P1","lambda1",-0.00279177254799011,0.00799953182997629,0.941,0.244706380508671,1161.17518521161,1.00534743105877
"S1",800,"P1","lambda2",0.0017337752637417,0.00291708054386853,0.947,0.147971784964561,1715.44508355552,1.00372671908521
"S1",800,"P2","lambda0",0.000370323723208737,0.0027831213475663,0.95,0.145791462507018,1794.99334170528,1.00356037863817
"S1",800,"P2","lambda1",-0.000259499864958628,0.00753010427061899,0.948,0.239678289717529,1212.08752671133,1.00507534848113
"S1",800,"P2","lambda2",-0.000110823858250109,0.0027962655080014,0.952,0.145726057900951,1793.86485210903,1.00346385840666
"S1",800,"P3","lambda0",0.0248608138142633,0.00333199928230291,0.897,0.146311721788148,1702.45377057769,1.00382069260454
"S1",800,"P3","lambda1",-0.0508481917531432,0.0096323271582988,0.888,0.239750668923398,1138.90812889107,1.00563091729156
"S1",800,"P3","lambda2",0.0259873779388799,0.00331494192667653,0.913,0.146339356007856,1706.6294670818,1.00381273781081
