"Model","CV_logLik","CV_L1","CV_MSE"
"Binomial",-52704.2502383622,0.124595816075276,0.0013699206543631
"Beta-Binomial",-49237.3562882401,0.102224003568517,0.000966382305964
"Logit-Normal",-49101.3299341365,0.100668396053366,0.000903537443389855
"Kumaraswamy",-49361.9273830196,0.109434957006787,0.00110231734121687
"Bern-Bino",-47795.4811962203,0.0564063086050292,0.000310741289962564
