"rep","fold","Kb","ll_bin","L1_bin","MSE_bin","ll_bb","L1_bb","MSE_bb","ll_ln","L1_ln","MSE_ln","ll_km","L1_km","MSE_km","ll_bern","L1_bern","MSE_bern"
1,1,15,-3495.2346753922,0.124594801331778,0.00130238117632581,-3278.1303880759,0.119512704160406,0.0014131049736137,-3269.00459882663,0.119103430861897,0.00135267804685837,-3287.12237810489,0.126359078505726,0.001568348811354,-3177.82224943264,0.0687151009188114,0.000606573358937072
1,2,15,-3479.86664680178,0.102247398252816,0.000925263520781148,-3277.5598573148,0.11199714770967,0.0010023484364079,-3269.69357909023,0.11554473644645,0.000968165533841147,-3286.4971694896,0.117834350231407,0.00115109573593117,-3180.4132491358,0.0606227669441836,0.000315848524116444
1,3,15,-3451.91176564782,0.12754995327736,0.00141553646297857,-3247.35743824019,0.09110548537729,0.000917582556766982,-3239.49280720186,0.093465027969103,0.000852318687146158,-3255.19755660237,0.100048942024326,0.00105023880075219,-3163.99701393751,0.056106253647527,0.00026830096568734
1,4,15,-3556.81699979867,0.137712901427613,0.00180948952129984,-3297.0945259607,0.0959375436434456,0.000726721680130679,-3287.5918313103,0.0881278749042602,0.000648019322369963,-3304.49301738049,0.10406797991158,0.000843108669798415,-3207.30220023721,0.0434907996679333,0.000240697643770931
1,5,15,-3584.21995593115,0.140390844718116,0.00146685136519936,-3311.85482016081,0.0952961418563454,0.000842605937521791,-3300.9814036399,0.0898711714733839,0.000768969227716395,-3320.14697820324,0.104017780084142,0.000968907126802539,-3201.74422677716,0.0440655423475228,0.000193085999382485
2,1,15,-3481.49521822852,0.116580570638364,0.00130586172505993,-3272.18193208454,0.0969251635236072,0.000853367309104454,-3264.02435826434,0.0929648537927447,0.000785280998472266,-3280.68444400994,0.103935085451213,0.00100102105619675,-3198.32638155069,0.0576045994575297,0.000268661761415142
2,2,15,-3463.79150226372,0.112226177424331,0.00111276994053326,-3262.95391667281,0.107519681668945,0.00110042621093301,-3253.95035304623,0.109794064554238,0.00103561051011908,-3272.31905605775,0.114445567353659,0.00125712242301866,-3156.9841471894,0.0560633707805384,0.000309621324040053
2,3,15,-3442.75339575113,0.120261009719259,0.00108142668948437,-3250.17781532879,0.1083929625916,0.000963309400578857,-3241.50849216473,0.103943278636154,0.000887145998733886,-3259.30292378352,0.118379194962846,0.0011219408962911,-3162.17994555879,0.038000002404249,0.000191856454811758
2,4,15,-3630.69605059771,0.133443885079493,0.00155282351785155,-3338.2359416866,0.0967461765379237,0.000872498573479974,-3327.82071416891,0.0965694426001151,0.000825826460587957,-3345.73231647479,0.10163619581906,0.000978873156790409,-3225.55254998146,0.0667825278404555,0.000330168275993701
2,5,15,-3549.01826956438,0.136518491174893,0.00179887883144896,-3289.97438628847,0.103674376579367,0.00105717962696097,-3280.74092496809,0.100454567016236,0.000995929526114089,-3296.99746576703,0.108703176747322,0.0011673189345765,-3189.21156753919,0.0728869017214704,0.000458123290210913
3,1,15,-3536.70400557356,0.11945517559558,0.00141953214364439,-3297.15074864683,0.108026402671506,0.000931131396059286,-3288.27615885811,0.107994679976133,0.000879304901642877,-3305.29413979682,0.111900612365658,0.00106192723686031,-3203.62791956809,0.0679172918312883,0.000359598792056692
3,2,15,-3453.83190664638,0.111976542855644,0.00115487578968332,-3257.78777738625,0.10424107066089,0.00104964674359627,-3250.05044542223,0.103803445395443,0.000993406252150342,-3266.32746045983,0.111226010146871,0.00119891673535666,-3174.28893846781,0.0559467407432861,0.000346991726183695
3,3,15,-3542.34042400505,0.12809276357211,0.00146982524688361,-3295.65857948767,0.0979004358911768,0.000933731394611792,-3286.31931436782,0.0946139917516274,0.000864963563230579,-3303.64491314934,0.102879863736548,0.00106728504276105,-3208.35626213528,0.0583354617504631,0.000326935762318996
3,4,15,-3589.71519794077,0.130067869225558,0.00133482300511274,-3318.67739187408,0.102181383521433,0.000911303474221282,-3307.20504145184,0.100590898970392,0.000839712297552508,-3327.8118081358,0.112040383119432,0.00104642581623648,-3189.96080706898,0.0448946158976587,0.000198009727502637
3,5,15,-3445.85422421935,0.127818856836232,0.00139847087915966,-3242.56076903161,0.0939033771341504,0.000920776875473048,-3234.66991135534,0.093184476452317,0.000855730324312207,-3250.35575560419,0.104050134642019,0.00105222967552683,-3155.71373764027,0.0546626531225206,0.000246645743010598
